Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
"Congo, Rep.",COG,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,,,,,,1.6,,,,,,,,,,,,
Colombia,COL,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,,,,1.100000024,1.2,,1,1,,,,1.4,1.5,,,,,
Comoros,COM,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,,,,,,,2.2,,,,,,,,,,,
Cabo Verde,CPV,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,,,,,,2.1,,,2.1,,2.1,,,,,,,
Costa Rica,CRI,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,,,,1.399999976,1.4,,1.3,1.3,1.2,,1.2,1.2,1.2,,,,,
Cuba,CUB,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,,,,4.900000095,,4.9,4.9,4.9,6,5.9,5.9,5.1,5.3,,,,,
Cayman Islands,CYM,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,,,,,,,,,,,,,,,,,,
Cyprus,CYP,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,,,4.400000095,,,3.8,3.7,,3.8,,3.52,3.5,,,,,,
Czech Republic,CZE,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,8.800000191,8.800000191,8.800000191,8.800000191,,8.4,8.4,8.1,7.2,7.1,7.01,6.8,,,,,,
Germany,DEU,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,9.100000382,9,8.899999619,,,8.4,8.3,,8.2,8.2,8.25,8.2,,,,,,
Djibouti,DJI,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,1.6,,,,,,,,,,1.4,,1.4,,,,,
Dominica,DMA,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,3.8,3.5,3.900000095,3.9,3.9,3.9,,4,3.8,3.8,3.8,3.8,3.8,,,,,
Denmark,DNK,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,4.300000191,4.199999809,4.099999905,4,3.8225,,,3.5,3.6,3.5,3.5,,,,,,,
Dominican Republic,DOM,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,,,,2.099999905,,2,,1,1,1,1.6,1.7,,,,,,
Algeria,DZA,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,,,,,1.7,,,,,,,,,,,,,
Ecuador,ECU,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,,,1.5,1.7,,,,,1.5,1.5,1.6,1.6,,,,,,
"Egypt, Arab Rep.",EGY,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,,,,2.200000048,,2.2,2.102,2.08,,1.7,1.7,,0.5,,,,,
Eritrea,ERI,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,,,,,,,1.2,,,,,0.7,,,,,,
Spain,ESP,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,4.099999905,3.900000095,3.900000095,3.5,,3.4,3.4,,3.2,3.2,3.16,3.1,,,,,,
